quality_score,Species,Country of Origin,Farm Name,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,Harvest Year,Grading Date,Owner.1,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,Expiration,Min_Altitude,Max_Altitude
86,Arabica,Colombia,Ecobio Colombia,,NONE,LUSSO COFFEE LAB,"900-1,500m",Tolima,,1,2,2013,"March 20th, 2014",LUSSO LAB,Caturra,Completed,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,86,12%,1 full defects,0,Green,1 full defects,"March 20th, 2015",900,1
86,Arabica,Kenya,KIANJAVI,,NONE,LUSSO COFFEE LAB,1520m-2200m,Kiambu,,1,1,2013,"February 6th, 2014",LUSSO LAB,SL28,Completed,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,86,11%,0 full defects,0,Green,1 full defects,"February 6th, 2015",1520,2200
86,Arabica,Uganda,,,x,Kawacom Ltd,1400-1900M,"Sipi, Mt Elgon",Kawacom,1,60,2012,"February 13th, 2012",AFCA,Other,Completed,Washed / Wet,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,86,10%,0 full defects,0,Blue-Green,0 full defects,"February 12th, 2013",1400,1900
86,Arabica,Ethiopia,Contact | sidacoop@ethionet.net,Coffee Processing and Warehouse Enterpri,010/0145,,1500-2000 m,Sidamo,Sidama Coffee Farmers Coop. Union,300,6,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,,Completed,,7.75,8.08,8,8.25,8,8,10,10,10,7.92,86,1%,0 full defects,0,,4 full defects,"June 17th, 2011",1500,2000
85.92,Arabica,Guatemala,LA ESPERANZA Y ANEXOS,BENEFICIO IXCHEL,11/23/0252,"UNEX GUATEMALA, S.A.",,NUEVO ORIENTE,MARGARITA AVILA DE NUYENS,80,69,2016,"May 16th, 2016",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,85,10%,0 full defects,1,Green,3 full defects,"May 16th, 2017",,
85.92,Arabica,Uganda,Sipi organic coffee project,Kawacom (U) Ltd,0,Kawacom uganda LTD,1400-1900,Eastern,Kawacom (U)Ltd,1,60,2013,"June 30th, 2014",Kawacom Uganda LTD,SL14,Completed,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,85,12%,0 full defects,0,Green,0 full defects,"June 30th, 2015",1400,1900
85.92,Arabica,Colombia,,trilladora Bonanza,3-68-0215,Exportadora de Cafe Condor S.A,1800 msnm,Huila,,275,70,2013,"July 26th, 2013",Exportadora de Cafe Condor S.A,Caturra,Completed,Washed / Wet,8,8,8,8.17,7.83,8,10,10,10,7.92,85,0%,1 full defects,0,Blue-Green,0 full defects,"July 26th, 2014",1800,1800
85.83,Arabica,Panama,La Berlina Estate,Beneficio Casa Ruiz S.A.,,CE Specialty S.A.,1600,Boquete,Plinio Ruiz,37,60,2017,"October 9th, 2017",Gonzalo Hernandez,Gesha,Completed,Washed / Wet,8,8,7.92,8.08,7.83,8,10,10,10,8,85,8%,0 full defects,1,Bluish-Green,0 full defects,"October 9th, 2018",1600,1600
85.83,Arabica,Ethiopia,,Burka Gudina,2014/2015,Ibrahim Hussien Specality Coffee Product & Exporter,1800-2000,Oromia,Ibrahim Hussien Specialty Coffee Producer and Exporter,320,60,2014,"April 4th, 2015",Ibrahim Hussien Speciality Coffee Producer &Export,,Completed,Washed / Wet,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,85,10%,0 full defects,0,Green,4 full defects,"April 3rd, 2016",1800,2000
85.83,Arabica,Guatemala,VALPARAISO,BENEFICIO VALPARAISO,11/1886/03,SERTRASA,5000,"ACATENANGO, CHIMALTENANGO",SERTRASA,150,1,2012,"July 3rd, 2012",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,7.83,8,8,8.17,7.83,8,10,10,10,8,85,12%,0 full defects,0,Green,3 full defects,"July 3rd, 2013",5000,5000
85.83,Arabica,Guatemala,FINCA EL LIMON,BENEFICIO SERBEN KM 21.5 CARRETERA A VILLA CANALES,11-853-155,"UNICAFE, S.A",4650,NUEVO ORIENTE ALDEA EL LIMON,WILLIAM ESTUARDO MARTINEZ PACHECO,275,1,2012,"June 5th, 2012",Juan Luis Alvarado Romero,Catuai,Completed,Washed / Wet,8,8,7.83,8.33,7.83,7.83,10,10,10,8,85,10%,0 full defects,0,Bluish-Green,1 full defects,"June 5th, 2013",4650,4650
85.75,Arabica,Ethiopia,seid damtew coffee export and plantation,seid damtew coffee export and plantation,490,Seid Damtew Coffee Planation,,addis ababa,seid damtew coffee export and plantation,320,19200,2017,"June 23rd, 2017",SEID DAMTEW COFFEE PLANATAION,Caturra,Completed,Natural / Dry,7.83,8,7.83,8.17,7.92,8,10,10,10,8,85,9%,0 full defects,4,None,7 full defects,"June 23rd, 2018",,
85.75,Arabica,Peru,,,030-0537-2066,Sustainable Harvest,,Cajamarca,,280,0.455625,2013,"January 22nd, 2014",Dane Loraas,,Completed,Washed / Wet,8,8,8,8.08,7.92,7.75,10,10,10,8,85,10%,4 full defects,0,Green,6 full defects,"January 22nd, 2015",,
85.75,Arabica,Papua New Guinea,Tairora Cherry – Bonta,Baroida,25072012,CQI,"1,700 mts",Eastern Highlands Province,"Colbran CoffeeLands, Ltd.",7,60,2012,"October 25th, 2012","Colbran Coffeelands, Ltd.",,Completed,Washed / Wet,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,85,12%,0 full defects,0,Bluish-Green,1 full defects,"October 25th, 2013",1,1
85.58,Arabica,El Salvador,El Majahual,J. Hill y Cia,09 – 060-24,Atlantic Specialty Coffee,1500 meters,Apaneca Llamantepec,Aida Batlle,275,2,2013,"March 18th, 2013",Atlantic Specialty Coffee,Bourbon,Completed,Washed / Wet,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,85,10%,0 full defects,0,Blue-Green,3 full defects,"March 18th, 2014",1500,1500
85.58,Arabica,El Salvador,Finca La Esmeralda,"Aqua caliente, J.J. Borja Nathan. S.A",,LUSSO COFFEE LAB,1300~1400 m.s.l,"Ataco, Apaneca - Ilamatepec mountain range",Oscar Roberto Murgas Linares,19,1,2012,"January 12th, 2013",LUSSO LAB,Bourbon,Completed,Semi-washed / Semi-pulped,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,85,11%,0 full defects,0,None,0 full defects,"January 12th, 2014",1300,1300
85.58,Arabica,United States (Hawaii),,,220451,Kona Pacific Farmers Cooperative,,KONA,,8,9.1125,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Natural / Dry,7.83,8,7.92,7.75,8.08,8,10,10,10,8,85,0%,0 full defects,0,,1 full defects,"April 6th, 2013",,
85.5,Arabica,Panama,Elida Estate,Elida Estate,290503,Essence Coffee,1680,Boquete,Lamastus,100,60,2014,"May 23rd, 2015",EssenceCoffee,Caturra,Completed,Natural / Dry,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,85,9%,2 full defects,0,,2 full defects,"May 22nd, 2016",1680,1680
85.5,Arabica,Kenya,Inoi,Inoi,3707361715,Essence Coffee,1900M,Kirinyaga,,16,60,2014,"May 23rd, 2015",EssenceCoffee,SL28,Completed,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,85,10%,0 full defects,0,Green,3 full defects,"May 22nd, 2016",1900,1900
85.5,Arabica,Ethiopia,,,2015,Assefa Belay Coffee Producer,1800-2000,Oromia,Assefa Belay Coffee Producer,320,60,2015,"March 31st, 2015",Assefa Belay Coffee Producer,Other,Completed,Natural / Dry,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,85,12%,0 full defects,0,Green,7 full defects,"March 30th, 2016",1800,2000
85.5,Arabica,Uganda,Buginyanya,Kyagalanyi Coffee Ltd,0,Kyagalanyi Coffee Ltd,1600,Bulambuli Eastern region,Kyagalanyi coffee Ltd,320,60,2013,"June 26th, 2014",Kyagalanyi Ltd,SL14,Completed,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,85,12%,0 full defects,0,Green,1 full defects,"June 26th, 2015",1600,1600
85.5,Arabica,Guatemala,ASOPERC,BENEFICIO EXPORTCAFE AGUA SANTA,11-52-492,"EXPORTCAFE, S.A",5600-5760 METROS,HUEHUETENANGO,ASOCIACION DE PERMACULTORES DE CUILCO (SANTOS LOPEZ MEJIA),250,69,2013,"February 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Completed,Washed / Wet,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,85,11%,0 full defects,0,Green,1 full defects,"February 26th, 2014",5600,5760
85.42,Arabica,Ethiopia,,,2015,Assefa Belay Coffee Producer,1800-2000,Oromia,Assefa Belay Coffee Producer,320,60,2015,"March 31st, 2015",Assefa Belay Coffee Producer,,Completed,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,85,10%,0 full defects,0,Green,18 full defects,"March 30th, 2016",1800,2000
85.42,Arabica,Uganda,Chesiyo farmer group,Great Lakes coffee Uganda,0,Great Lakes Coffee Uganda,1950,Kapchorwa,Chesiyo Farmer group,150,60,2013,"June 26th, 2014",Great Lakes Coffee Uganda,SL14,Completed,Washed / Wet,8.08,8,7.83,7.67,8,7.83,10,10,10,8,85,12%,0 full defects,0,Green,5 full defects,"June 26th, 2015",1950,1950
85.42,Arabica,United States (Hawaii),,,220453,Kona Pacific Farmers Cooperative,,KONA,,8,9.1125,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Completed,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,85,0%,4 full defects,0,,6 full defects,"April 6th, 2013",,
85.42,Arabica,Brazil,Fazenda Serra de Três Barras,,002/1251/0072,NUCOFFEE,1250m,South of Minas Gerais,José Vagner Ribeiro Junqueira,5,60,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Completed,Semi-washed / Semi-pulped,8,8,8,7.67,7.75,8,10,10,10,8,85,11%,0 full defects,0,Blue-Green,1 full defects,"December 2nd, 2012",1250,1250
85.42,Arabica,El Salvador,Sierra Nevada,Beneficio Las Tres Puertas,9-060-60D-L-1D,,1400 M,Apaneca Ilamatepec Mountain Range,J. Hill y Cia SA de CV,2,0.091125,2009 / 2010,"May 31st, 2010",Grounds for Health Admin,,Completed,,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,85,1%,0 full defects,0,,0 full defects,"May 31st, 2011",1400,1400
85.33,Arabica,China,Pu'er City Longke Coffee Co.Ltd,Pu'er City Longke Coffee Co.Ltd,,Yunnan Coffee Exchange,1700,Yunnan Province Pu'er City Lancang County,Pu'er City Longke Coffee Co.Ltd,3,60,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Completed,Natural / Dry,8,8,8,7.83,7.83,7.75,10,10,10,7.92,85,10%,0 full defects,0,Green,0 full defects,"April 6th, 2017",1700,1700
85.33,Arabica,Guatemala,El Injerto S.A.,El Injerto S.A.,11999144,Essence Coffee,1770,Huehuetenango,Arturo Aguirre,36,30,2014,"May 23rd, 2015",EssenceCoffee,Pacamara,Completed,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,85,11%,0 full defects,0,Green,1 full defects,"May 22nd, 2016",1770,1770
85.33,Arabica,Costa Rica,Several,Cafe Altura de San Ramon,5-562-0006,The Coffee Source Inc.,1300,West Valley,Cafe Altura de San Ramon,250,0.273375,2014,"May 1st, 2014",The Coffee Source Inc.,Caturra,Completed,Washed / Wet,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,85,0%,0 full defects,0,Bluish-Green,0 full defects,"May 1st, 2015",1300,1300
85.33,Arabica,Costa Rica,SEVERAL,CAFE DE ALTURA SAN RAMON,5-562-0016,The Coffee Source Inc.,1300 msnm,SAN RAMON,SEVERAL,250,0.273375,2014,"May 1st, 2014",The Coffee Source Inc.,Caturra,Completed,Washed / Wet,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,85,10%,0 full defects,0,Bluish-Green,2 full defects,"May 1st, 2015",1300,1300
85.33,Arabica,Kenya,,,37/672/0017,RASHID MOLEDINA & CO. (MSA) LTD,above 1600 M,Central Kenya - Nyeri,Kianjogu - Rutuma F.C.S. Ltd.,20,60,2012,"April 19th, 2013",RASHID MOLEDINA & CO. (MSA) LTD.,SL34,Completed,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,85,0%,0 full defects,0,Green,2 full defects,"April 19th, 2014",1600,1600
85.33,Arabica,Kenya,,NKG/CK/HC/SS/KCCM,37/00597/0252 - AB FAQ Q certified,Ibero Kenya Limited,Above 1200 M,Blend - Central & western Kenya,Blend from various Producers,300,60,2012,"March 12th, 2013",Ibero Kenya Limited,SL34,Completed,Washed / Wet,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,85,0%,0 full defects,0,Green,6 full defects,"March 12th, 2014",1200,1200
85.25,Arabica,Guatemala,LA ESPERANZA Y ANEXOS,BENEFICIO IXCHEL,11/23/0177,"UNEX GUATEMALA, S.A.",,ORIENTE,MARGARITA AVILA DE NUYENS,250,69,2016,"April 27th, 2016",Juan Luis Alvarado Romero,Bourbon,Completed,,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,85,10%,0 full defects,2,Green,2 full defects,"April 27th, 2017",,
